// !重要! - 致译者:
// 不要翻译任何包含于 <>(尖括号)的标签。
// 切忌误删任何半角引号——这会导致整个文件无法被解析。
// 译者注：最好保留原有的作者，只在 710001 号文本中用换行符"\n"分隔的方式添加新的合作者。
// 凡平民、无身份地位的，使用量词“位”，凡军事单位，使用“名”，避免对单位使用“个”等量词，如：
// 1 位牧羊人、1 位村民、1 名斥候骑兵、1 名步弓手

// 可以使用搜索、替换工具来加快翻译进程，但要避免使用以下字符串的全部或部分：
// Houses
// Shepherds
// Hunters
// Hunters/Shepherds
// Foragers
// Farmers
// Lumberjacks
// Gold Miners
// Stone Miners
// Walling Factor
// Town Centers
// Ranges
// Civilian Population
// Villagers
// Scouts
// Archers
// Militia
// Knights
// Skirms
// Fishing Ships
// Fire Galleys
// Relics Captured
// Conqs
// HCs
// BBCs
// BLUE
// RED
// GREEN
// YELLOW
// ORANGE
// Idle Dark
// Idle Feudal
// Idle Castle

// 译者注：善用正则等文本工具大幅度加快翻译进程。
// 如表达式 ^\d+ "[^"]+$ 匹配未以引号结尾的行。
// GLHF :)

// ---

// Authorship

750016 "主要用在竞技场团战的坐中位置。在城堡时代早期，有必要通过购买食物来维持 TC 的运转。可以在拥有 16~18 农田后积攒木材(并购买 100 石料)转成 4TC Boom 发育，但这样耽误进入帝王时代的时间。此 BO 用于早期推进，并不需要规模如此之大的经济支撑。"

750017 "仅在不需要防守时使用——这是竞技场团战坐中选手的重要 BO。它比 3TC Boom 更晚迈入帝王时代，但又是构建更昂贵的军队所需要的。此 BO 的某些版本中迈入城堡时代后会研究重犁(二级耕种)，虽然这样会稍微耽误急速发展(Boom)，但如果打算构建对食物需求量大的军队，此举值得考虑。"

750018 "竞技场 1v1 的一个重要战略。斥候用来猎杀僧侣，以帮助玩家夺取圣物。通常情况下，会投资比此场景所要求的数量还多的斥候并升级，这取决于对手在争夺圣物上进行了多少投资。此版本后期会过渡到 Boom，但也有更具侵略性的选项。"

750019 "此 BO 适用于消耗食物、黄金的独特单位，如西班牙征服者、土耳其苏丹亲兵，但也能改编成适合消耗木材、黄金的独特单位。此 BO 通常用于前置城堡。"

750020 "此 BO 使用火药部队，因为他们不需要再升级。土耳其由于化学免费，能在迈入帝王时代后立即生产火药部队，因此也是少数几个直帝较为可行的文明之一。但直帝(即此 BO)通常会被更有经验的玩家反制。"

//Misc

760000 "黑暗时代 TC(城镇中心) 闲置时长：<Idle Dark> 秒"
760001 "封建时代 TC(城镇中心) 闲置时长：<Idle Feudal> 秒"
760002 "城堡时代 TC(城镇中心) 闲置时长：<Idle Castle> 秒"
